FINALIZAÇÃO NORMALIZADA;ENVIO;ENTREGUE;LIDO;RETORNO;CPC;CPC_PROD;BOLETO
ALEGA FRAUDE;1;1;1;1;1;0;0
ALEGA PAGAMENTO;1;1;1;1;1;0;0
BOLETO;1;1;1;1;1;1;1
CLIENTE COM ACAO;1;1;1;1;1;0;0
CLIENTE DESCONHECE DEBITO;1;1;1;1;1;0;0
CLIENTE DIRECIONADO AGENCIA;1;1;1;1;1;1;0
CLIENTE FALECIDO;1;1;1;1;0;0;0
CLIENTE JA POSSUI ACORDO OU ...;1;1;1;1;1;0;0
CLIENTE SEM INTERESSE;1;1;1;1;1;1;0
CONTRATO BAIXADO;1;1;1;1;0;0;0
DESCONHECE CLIENTE;1;1;1;1;0;0;0
EM NEGOCIACAO;1;1;1;1;1;1;0
ERRO AO GERAR BOLETO;1;1;1;1;1;1;0
ERRO API;1;0;0;0;0;0;0
INFORMACOES CLIENTE;1;1;1;1;1;0;0
INFORMACOES TERCEIROS;1;1;1;1;0;0;0
NAO CONFIRMA DADOS;1;1;1;1;0;0;0
NAO RESPONDE;1;1;1;1;0;0;0
PREVENTIVO;1;1;1;1;1;0;0
RECADO;1;1;1;1;0;0;0
REENVIO DE BOLETO;1;1;1;1;1;0;0
SEM CONDICOES;1;1;1;1;1;1;0
SEM RETORNO;1;1;1;1;0;0;0
SOLICITA RETORNO (CLIENTE);1;1;1;1;1;1;0
SOLICITA RETORNO (TERCEIRO);1;1;1;1;0;0;0
